Division,PC Number,Type,PC Name,Current Address,City,State,Zip,Main Ph. Number,GM,Manager Name,Manager Email,AR/AP Contact,AR/AP Email
Colorado,6026,PC,Greentech Renewables - Pueblo,"1107 South Santa Fe AVE, Unit B",Pueblo,CO,81006,719-621-8104,Derek Nayden,Carter Thompson,carter.thompson@greentechrenewables.com,AP,ap.6026@greentechrenewables.com
Mid-Atlantic,4598,C & I,Greentech Renewables - Commercial Solutions - Mid-Atlantic,35 Twinbridge DR,Pennsuaken,NJ,8110,856-488-0123,Bob DeLullo,Bob DeLullo,bob.delullo@greentechrenewables.com,AP,ap.4598@greentechrenewables.com
Mid-Atlantic,5887,PC,Greentech Renewables - Pennsauken,"35 Twinbridge DR, Units A-F",Pennsuaken,NJ,8110,856-488-0123,Bob DeLullo,Bob DeLullo,bob.delullo@greentechrenewables.com,AP,ap.5887@greentechrenewables.com
Mid-Atlantic,5944,PC,Greentech Renewables - Pittsburgh,340 South Campus DR,Imperial,PA,15126,412-472-7001,Bob DeLullo,Wyatt Gallagher,wyatt.gallagher@greentechrenewables.com,AP,ap.5944@greentechrenewables.com
Mid-Atlantic,6408,PC,Greentech Renewables - Virginia,4273 Carolina AVE,Richmond,VA,23222,804-767-1360,Bob DeLullo,Humza Arshad,humza.arshad@greentechrenewables.com,AP,ap.6408@greentechrenewables.com
Mid-Atlantic,9106,PC,Greentech Renewables - Columbia,"8325 Patuxent Range RD, Suites E & F",Jessup,MD,20794,443-542-2483,Bob DeLullo,Bob DeLullo,bob.delullo@greentechrenewables.com,AR,ar.maryland@greentechrenewables.com
New England,120,PC,Greentech Renewables - Albany,"102 Karner RD, Suite 2",Albany,NY,12205,518-608-4720,Buddy Starr,Wes Lord,wes.lord@greentechrenewables.com,AP,ap.0120@greentechrenewables.com
New England,224,PC,Greentech Renewables - Auburn,"3 C ST, Units 13",Auburn,MA,1501,774-243-9597,Buddy Starr,Buddy Starr,buddy.starr@greentechrenewables.com,AP,ap.0224@greentechrenewables.com
New England,933,PC,Greentech Renewables - Burlington,322 Leroy RD,Williston,VT,5495,802-652-4123,Buddy Starr,Damien Thibault,damien.thibault@greentechrenewables.com,AP,ap.0933@greentechrenewables.com
New England,4422,PC,Greentech Renewables - Maine,33 Spring Hill RD,Saco,ME,4072,207-800-1024,Buddy Starr,Sean Benjamin,sean.benjamin@greentechrenewables.com,Gabrielle Auzenbergs,gabrielle.auzenbergs@greentechrenewables.com
New England,4431,PC,Greentech Renewables - Mansfield,600 West ST,Mansfield,MA,2048,508-665-2151,Buddy Starr,Buddy Starr,buddy.starr@greentechrenewables.com,AP,greentechmansfield.4431@billinginbox.com
New England,4991,PC,Greentech Renewables - New Hampshire,83 Dow RD,Bow,NH,3304,603-219-0008,Buddy Starr,John Gribbin,john.gribbin@greentechrenewables.com,AP,ap.4991@greentechrenewables.com
NorCal/Hawaii,311,PC,Greentech Renewables - Bakersfield,115 Kentucky ST,Bakersfield,CA,93305,661-631-0213,Renato Cesar,Sean Alcorn,sean.alcorn@greentechrenewables.com,AP,customerservice.bakersfield@greentechrenewables.com
NorCal/Hawaii,1057,PC,Greentech Renewables - Chico,1210 West 7th ST,Chico,CA,95928,530-895-8611,Renato Cesar,Craig Cardoza,ccardoza@cedchico.com,AP,scanez@cedchico.com
NorCal/Hawaii,2576,PC,Greentech Renewables - Fresno,"3145 S Northpointe DR, Suite 103",Fresno,CA,93725,559-492-3976,Renato Cesar,Jordan Brown,jordan.brown@greentechrenewables.com,AP,ap.2576@greentechrenewables.com
NorCal/Hawaii,3917,PC,Greentech Renewables - Kona,73-5639 Kaiakoili ST,Kailua-Kona,HI,96740,808-313-8767,Renato Cesar,Russell Nagamine,russell@cedkona.com,AP,accountspayable.kona@greentechrenewables.com
NorCal/Hawaii,4420,PC,Greentech Renewables - Maui,"269 Papa PL, Units 23 & 24",Kahului,HI,96732,808-727-8882,Renato Cesar,Claudio Vazquez,claudio.vazquez@greentechrenewables.com,AP,ap.4420@greentechrenewables.com
NorCal/Hawaii,5003,C & I,Greentech Renewables - Commercial Solutions - NorCal,31260 Wiegman RD,Hayward,CA,94544,510-330-5068,Renato Cesar,Melissa Lockhart,melissa.lockhart@greentechrenewables.com,Wendy Britto,wendy.britto@greentechrenewables.com
NorCal/Hawaii,5040,PC,Greentech Renewables - SF Bay Area,31260 Wiegman RD,Hayward,CA,94544,510-330-5068,Renato Cesar,James Cowick,james.cowick@greentechrenewables.com,AP,ap.5040@greentechrenewables.com
NorCal/Hawaii,6092,PC,Greentech Renewables - Redding,"1570 Charles DR, Suite 200",Redding,CA,96003,530-276-0121,Renato Cesar,Renato Cesar,renato.cesar@greentechrenewables.com,AP,ap.6092@greentechrenewables.com
NorCal/Hawaii,6552,PC,Greentech Renewables - Sacramento,"2345 McClellan Park DR, Suite 200",McClellan,CA,95652,916-452-3111,Renato Cesar,Trevor Hammitt,trevor.hammitt@greentechrenewables.com,AP,ap.6552@greentechrenewables.com
NorCal/Hawaii,7492,PC,Greentech Renewables - San Jose,1939 Hartog DR,San Jose,CA,95131,408-436-5355,Renato Cesar,Madilyn Probst,madilyn.probst@greentechrenewables.com,Matt Remel,ap.sanjose@greentechrenewables.com
NorCal/Hawaii,7605,PC,Greentech Renewables - San Luis Obispo,1075 Farmhouse LN,San Luis Obispo,CA,93401,805-234-9099,Renato Cesar,Tyler Young,tyler.young@greentechrenewables.com,AP,ap.7605@greentechrenewables.com
NorCal/Hawaii,7715,PC,Greentech Renewables - Santa Cruz,"420 Kennedy DR,  Suite B",Capitola,CA,95010,831-471-7410,Renato Cesar,Myles Blackwell,myles.blackwell@greentechrenewables.com,AP,ap.7715@greentechrenewables.com
NorCal/Hawaii,7953,PC,Greentech Renewables - Santa Rosa,3490 Regional PKWY,Santa Rosa,CA,95403,707-387-1810,Renato Cesar,Justin Chiu,justin.chiu@greentechrenewables.com,AP,ap.7953@greentechrenewables.com
NorCal/Hawaii,8797,PC,Greentech Renewables - Stockton,"3838 Imperial Way, Suite 600B",Stockton,CA,95215,209-836-0390,Renato Cesar,Simratjit Bar,sim.brar@greentechrenewables.com,AP,ap.8797@greentechrenewables.com
NorCal/Hawaii,9185,PC,Greentech Renewables - West Oahu,94-480 Akoki ST # 1,Waipaihu,HI,96797,808-200-3702,Renato Cesar,Ben McCormick,ben.mccormick@greentechrenewables.com,AP,ap.9185@greentechrenewables.com
North,960,PC,Greentech Renewables - Detroit,41106 Koppernick RD,Canton,MI,48187,734-335-7510,Conor Kays,David Ludeke,david.ludeke@greentechrenewables.com,AP,ap.0960@greentechrenewables.com
North,1045,PC,Greentech Renewables - Chicago,2207 East 165th ST,Hammond,IN,46320,219-803-7878,Conor Kays,Andrew Smith,andrew.smith@greentechrenewables.com,AP,ap.1045@greentechrenewables.com
North,1154,PC,Greentech Renewables - Columbus,"870 Corduroy RD, Suite 100",Lewis Center,OH,43035,614-896-4378,Conor Kays,Conor Kays,conor.kays@greentechrenewables.com,AP,accounting.columbus@greentechrenewables.com
North,3287,C & I,Greentech Renewables - Commercial Solutions – Indiana,2207 East 165th ST,Hammond,IN,46320,219-706-9099,Conor Kays,Geoff Stenrick,geoff.stenrick@greentechrenewables.com,"",""
North,3293,PC,Greentech Renewables - Indianapolis,8615 E 33rd ST,Indianapolis,IN,46226,317-912-3777,Conor Kays,David Napolitano,david.napolitano@greentechrenewables.com,AP,ap.3293@greentechrenewables.com
NY Metro,1670,PC,Greentech Renewables - Danbury,15 Old Sherman TPK,Danbury,CT,6810,203-744-3605,Nick Russo,Rick Flannery,rick.flannery@greentechrenewables.com,AP,ap.1670@greentechrenewables.com
NY Metro,4250,PC,Greentech Renewables - Long Island,"80 13th AVE, Unit #4",Ronkonkoma,NY,11779,631-676-5272,Nick Russo,Joe Anderson,joe.anderson@greentechrenewables.com,AP,ap.4250@greentechrenewables.com
NY Metro,4984,PC,Greentech Renewables - Wallingford,"2 Toelles RD, Units 6, 7 & 8",Wallingford,CT,6492,203-269-8064,Nick Russo,Nick Russo,nick.russo@greentechrenewables.com,AP,ap.4984@greentechrenewables.com
NY Metro,6462,PC,Greentech Renewables - Rochester,465 Paul RD,Rochester,NY,14624,585-486-4900,Nick Russo,Justin Richardson,justin.richardson@greentechrenewables.com,Accounting,accounting.rochester@greentechrenewables.com
NY Metro,8460,PC,Greentech Renewables - Stroudsburg,"1332 North 9th ST, Suite 101",Stroudsburg,PA,18360,570-424-0446,Nick Russo,Enrico Esopo,enrico.esopo@greentechrenewables.com,AP,ap.8460@greentechrenewables.com
Pacific Northwest,589,PC,Greentech Renewables - Bellingham,1750 Moore ST,Bellingham,WA,98229,360-303-9487,Kyle Armitage,Jake Vigil,jake.vigil@greentechrenewables.com,Customer Service,customerservice.bellingham@greentechrenewables.com
Pacific Northwest,704,PC,Greentech Renewables - Bend,"20652 Carmen Loop, Suite 100",Bend,OR,97702,458-666-5136,Kyle Armitage,Jake Vigil,jake.vigil@greentechrenewables.com,AP,ap.0704@greentechrenewables.com
Pacific Northwest,4450,PC,Greentech Renewables - Medford,1567 N Central AVE,Medford,OR,97501,541-494-0713,Kyle Armitage,Kyle Armitage,kyle.armitage@ced.com,AP,ap.4450@greentechrenewables.com
Pacific Northwest,5971,PC,Greentech Renewables - Portland,"5300 SE Johnson Creek BLVD, Unit C",Milwaukie,OR,97222,971-444-0221,Kyle Armitage,Kyle Armitage,kyle.armitage@greentechrenewables.com,Customer Service,customerservice.portland@greentechrenewables.com
Pacific Northwest,8064,PC,Greentech Renewables - Seattle,22436 72nd AVE S.,Kent,WA,98032,206-686-9762,Kyle Armitage,Zach Hoeft,zach.hoeft@greentechrenewables.com,AP,ap.8064@greentechrenewables.com
Pacific Northwest,8187,PC,Greentech Renewables - Spokane,22808 E. Appleway Ave. STE. 2,Liberty Lake,WA,99019,509-505-0890,Kyle Armitage,Nico Hernandez,nico.hernandez@greentechrenewables.com,Stephanie Fidero,invoices.spokane@greentechrenewables.com
Pacific Northwest,8801,PC,Greentech Renewables - Tri-Cities,2201 E Ainsworth,Pasco,WA,99301,509-975-1461,Kyle Armitage,Kyle Armitage,kyle.armitage@greentechrenewables.com,AP,ap.8801@greentechrenewables.com
SoCal,1024,PC,Greentech Renewables - Los Angeles,9657 Mason AVE,Chatsworth,CA,91311,818-341-1751,Baxter Booth,Sam Zdenek,sam.zdenek@greentechrenewables.com,AP,ap.1024@greentechrenewables.com
SoCal,1521,PC,Greentech Renewables - Orange County,1000 E. Valencia DR,Fullerton,CA,92831,714-557-6801,Baxter Booth,Drew Boatman,drew.boatman@greentechrenewables.com,AP,ap.1521@greentechrenewables.com
SoCal,5733,PC,Greentech Renewables - Coachella Valley,77656 Flora RD,Palm Desert,CA,92211,760-864-7292,Baxter Booth,David Petta,david.petta@greentechrenewables.com,Leighann Stone,leighann.stone@greentechrenewables.com
SoCal,6435,PC,Greentech Renewables - Riverside,1601 Iowa AVE,Riverside,CA,92507,951-684-7811,Baxter Booth,Rod Vandenabeele,rod.vandenabeele@greentechrenewables.com,AP,ap.6435@greentechrenewables.com
SoCal,7133,PC,Greentech Renewables - San Diego,9190 Activity RD,San Diego,CA,92126,858-277-4223,Baxter Booth,Baxter Booth,baxter.booth@greentechrenewables.com,AP,ap.7133@greentechrenewables.com
SoCal,8093,C & I,Greentech Renewables - Commercial Solutions - Buena Park,6781 8th ST,Buena Park,CA,90620,714-956-5156,Baxter Booth,Jack McBride,jack.mcbride@greentechrenewables.com,Sharon Ortiz,customerservice.socal@greentechrenewables.com
SoCal,9001,PC,Greentech Renewables - Ventura,4483 McGrath ST #101,Ventura,CA,93003,805-620-4300,Baxter Booth,Drew Blackwell,drew.blackwell@greentechrenewables.com,AP,ap.9001@greentechrenewables.com
SouthEast,1132,PC,Greentech Renewables - West Columbia,"423 Foster Brothers DR, Suite 300",West Columbia,SC,29172,803-939-2840,Justin Steinke,Richard Lovegreen,richard.lovegreen@greentechrenewables.com,AP,ap.1132@greentechrenewables.com
SouthEast,3395,PC,Greentech Renewables - Jacksonville,"1720 Lewis Industrial DR, Suite 1",Jacksonville,FL,32254,774-545-5253,Justin Steinke,Joel Durrance,joel.durrance@greentechrenewables.com,AP,ap.3395@greentechrenewables.com
SouthEast,4560,PC,Greentech Renewables - Miami,1742 West Atlantic BLVD,Pompano Beach,FL,33069,954-973-9730,Justin Steinke,Mike O'Neil,michael.oneil@greentechrenewables.com,AP,ap.4560@greentechrenewables.com
SouthEast,4979,PC,Greentech Renewables - Nashville,"500 Salyers DR, BLDG 300",LaVergne,TN,37167,629-335-1986,Justin Steinke,Caleb Baker,caleb.baker@greentechrenewables.com,AP,ap.4979@greentechrenewables.com
SouthEast,5621,PC,Greentech Renewables - Orlando,7527 Exchange DR,Orlando,FL,32809,407-412-5209,Justin Steinke,Joel Durrance,joel.durrance@greentechrenewables.com,Briailana Petty,briailana.petty@greentechrenewables.com
SouthEast,5888,PC,Greentech Renewables - Pensacola,3361 Copter RD,Pensacola,FL,32514,850-665-4718,Justin Steinke,Mark Geers,mark.geers@greentechrenewables.com,AP,ap.5888@greentechrenewables.com
SouthEast,6029,PC,Greentech Renewables - Puerto Rico,604 Calle Hoare,San Juan,PR,907,386-334-4598,Justin Steinke,Juan Morey,juan.morey2@greentechrenewables.com,Melissa Perez,mlopezperez@cedgreentechpr.com
SouthEast,6058,PC,Greentech Renewables - Raleigh,"4900 Jones Sausage RD, Suite 110",Garner,NC,27529,984-960-0450,Justin Steinke,Shasten Jolley,shasten.jolley@greentechrenewables.com,AP,ap.6058@greentechrenewables.com
SouthEast,8018,PC,Greentech Renewables - Tampa Bay,"2511 51st AVE East, Suite 100",Palmetto,FL,34221,941-413-0403,Justin Steinke,Christian Bruno,christian.bruno@greentechrenewables.com,Aaron Ingham,aaron.ingham@greentechrenewables.com
SouthEast,8618,PC,Greentech Renewables - Commerical Solutions -  Florida,5400 Southern Comfort BLVD,Tampa,FL,33634,813-522-6210,Justin Steinke,Christian Bruno,christian.bruno@greentechrenewables.com,AP,ap.8618@greentechrenewables.com
SouthWest,148,PC,Greentech Renewables - Albuquerque,"701 Comanche RD NE, Suite 1A",Albuquerque,NM,87107,505-340-0395,Steve Mann,Ryan Kirby,ryan.kirby@greentechrenewables.com,AP,ap.0148@greentechrenewables.com
SouthWest,1987,PC,Greentech Renewables - El Paso,1480 Common DR #D,El Paso,TX,79936,915-317-1770,Steve Mann,Skyler Salazar,skyler.salazar@greentechrenewables.com,Ana Hernandez,ana.hernandez@greentechrenewables.com
SouthWest,4029,PC,Greentech Renewables - Las Cruces,"432 Pioneer PL, Bldg 3",Las Cruces,NM,88005,575-249-3833,Steve Mann,Skyler Salazar,skyler.salazar@greentechrenewables.com,AP,ap.4029@greentechrenewables.com
SouthWest,4090,PC,Greentech Renewables - Las Vegas,6845 S. Decatur BLVD #140,Las Vegas,NV,89118,702-730-2825,Steve Mann,Rick Thompson,richard.thompson@greentechrenewables.com,AP,ap.4090@greentechrenewables.com
SouthWest,4391,PC,Greentech Renewables - Lubbock,"603 CR 7150, Suite 2",Lubbock,TX,79404,806-334-3150,Steve Mann,Jonah Sell,jonah.sell@greentechrenewables.com,Jonah Sell,jonah.sell@greentechrenewables.com
SouthWest,5929,C & I,Greentech Renewables - Commercial Solutions – Southwest,4535 E. Elwood ST #105,Phoenix,AZ,85040,480-968-9341,Steve Mann,Steve Mann,steve.mann@greentechrenewables.com,AP,ap.4598@greentechrenewables.com
SouthWest,6254,PC,Greentech Renewables - Reno,"2080 Brierley Way, Suite 101",Sparks,NV,89434,775-335-2263,Steve Mann,Steve Mann,steve.mann@greentechrenewables.com,AP,ap.6254@greentechrenewables.com
SouthWest,8756,PC,Greentech Renewables - Phoenix,4535 E. Elwood ST #105,Phoenix,AZ,85040,480-968-9341,Steve Mann,Steve Mann,steve.mann@greentechrenewables.com,AP,ap.8756@greentechrenewables.com
SouthWest,8808,PC,Greentech Renewables - Tucson,"3981 N Business Center DR, Suite 101",Tucson,AZ,85705,520-203-7556,Steve Mann,Landon Carney,landon.carney@greentechrenewables.com,AP,ap.8808@greentechrenewables.com
West,181,PC,Greentech Renewables - American Fork,"698 East 1300 South, Suite #3",American Fork,UT,84003,385-287-8500,Brad Jennings,Spencer Paskett,spencer.paskett@greentechrenewables.com,Mathew Diede,ap.americanfork@greentechrenewables.com
West,727,PC,Greentech Renewables - Billings,516 S.18th ST West,Billings,MT,59102,406-476-1560,Brad Jennings,Brad Jennings,brad.jennings@greentechrenewables.com,AP,ap.0727@greentechrenewables.com
West,756,PC,Greentech Renewables - Boise,"55 N Truckee AVE, Suite 100",Meridian,ID,83642,208-417-1177,Brad Jennings,Mike Beaird,mike.beaird@greentechrenewables.com,AP,ap.0756@greentechrenewables.com
West,821,PC,Greentech Renewables - Bozeman,467 West Griffin DR,Bozeman,MT,59715,406-404-2373,Brad Jennings,Brad Jennings,brad.jennings@greentechrenewables.com,AP,ap.0821@greentechrenewables.com
West,987,PC,Greentech Renewables - Cedar Rapids,3336 6th ST SW,Cedar Rapids,IA,52404,319-853-1998,Brad Jennings,Miles Broske,miles.broske@greentec hrenewables.com,Olivia Grimm,olivia.grimm@greentechrenewables.com
West,4407,PC,Greentech Renewables - Madison,4502 Helgesen DR,Madison,WI,53718,608-400-5700,Brad Jennings,Brad Jennings,brad.jennings@greentechrenewables.com,AP,ap.4407@greentechrenewables.com
West,4633,C & I,Greentech Renewables - Commerical Solutions -  Minnesota,420 37th AVE NE Suite 400,Minneapolis,MN,55421,763-760-3925,Brad Jennings,Geoff Stenrick,geoff.stenrick@greentechrenewables.com,TJ Wilson,tj.wilson@greentechrenewables.com
West,4639,PC,Greentech Renewables - Missoula,9950 Long Acres DR,Missoula,MT,59808,406-476-1560,Brad Jennings,Brad Jennings,brad.jennings@greentechrenewables.com,AP,ap.4639@greentechrenewables.com
West,4664,PC,Greentech Renewables - Minneapolis,420 37th AVE NE,Minneapolis,MN,55421,763-760-3925,Brad Jennings,Geoff Stenrick,geoff.stenrick@greentechrenewables.com,AP,ap.4664@greentechrenewables.com
West,4950,PC,Greentech Renewables - North Chicago,"1305 Busch PKWY, Suite 102",Buffalo Grove,IL,60089,847-549-0300,Brad Jennings,Grant Eidam,grant.eidam@greentechrenewables.com,AP,ap.4950@greentechrenewables.com
West,5415,PC,Greentech Renewables - Omaha,11111 E. Circle DR,Omaha,NE,68137,402-646-9789,Brad Jennings,Ben Johnson,ben.johnson@greentechrenewables.com,Angeline Ramos,angeline.ramos@greentechrenewables.com
West,5885,PC,Greentech Renewables - Peoria,8310 N University ST,Peoria,IL,61615,309-966-9127,Brad Jennings,Sheku Koroma,sheku.koroma@greentechrenewables,Negede Wondimu,negede.wondimu@greentechrenewables.com
West,5951,PC,Greentech Renewables - Pocatello,"190 Southside Way, Suites 1-3",Chubbuck,ID,83202,208-962-6369,Brad Jennings,Jackson Farnsworth,jackson.farnsworth@greentechrenewables.com,Cody Dawson,cody.dawson@greentechrenewables.com
West,6612,PC,Greentech Renewables - St. George,"342 South Commerce ST, Unit 23",Hurricane,UT,84737,435-673-1474,Brad Jennings,Scott Maughan,scott.maughan@greentechrenewables.com,AP,ap.6612@greentechrenewables.com
West,6692,PC,Greentech Renewables - Salt Lake,"2242 S Presidents DR, Suite A & B",West Valley City,UT,84120,801-456-6004,Brad Jennings,Spencer Paskett,spencer.paskett@greentechrenewables.com,AP,ap.6692@greentechrenewables.com
