Item,On Hand Qty,PC #,Date,PC Name,State,Rep,Category,Price_ea,On Hand Value
RT2-04-FBN25,946,4431,2024-02-01,Greentech Renewables - Mansfield,MA,RyanW,Bolts,$0.36,$340.56
RT2-04-SD5-60,3047,4431,2024-02-01,Greentech Renewables - Mansfield,MA,RyanW,Screws,$0.43,$1310.21
RT2-04-SD5-90,1740,4431,2024-02-01,Greentech Renewables - Mansfield,MA,RyanW,Screws,$0.75,$1305
RT2-04-FBN25,300,4450,2024-02-01,Greentech Renewables - Medford,OR,Genki,Bolts,$0.36,$108
RT2-00-MINIBK2,63,4560,2024-02-01,Greentech Renewables - Miami,FL,RyanW,MINI,$4.15,$261.45
RT2-00-MINIBK2-FSET,412,4560,2024-02-01,Greentech Renewables - Miami,FL,RyanW,MINI,$4.51,$1858.12
RT2-04-FBN25,255,4560,2024-02-01,Greentech Renewables - Miami,FL,RyanW,Bolts,$0.36,$91.8
RT2-04-SD5-60,1064,4560,2024-02-01,Greentech Renewables - Miami,FL,RyanW,Screws,$0.43,$457.52
RT3-04-BUTYL,252,4560,2024-02-01,Greentech Renewables - Miami,FL,RyanW,Accessories,$1.18,$297.36
RT2-00-MINIBK2,795,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,MINI,$4.15,$3299.25
RT2-04-BN30SL-US,58,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,Bolts,$0.36,$20.88
RT2-04-FBN25,2957,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,Bolts,$0.36,$1064.52
RT2-04-SD5-60,2174,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,Screws,$0.43,$934.82
RT3-01-UES30,239,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,APEX,$15.31,$3659.09
RT3-02-UMFS30,239,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,APEX,$9.24,$2208.36
RT3-04-M4-16S,80,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,APEX,$0.25,$20
RT3-04-RFEBBK,17,4664,2024-02-01,Greentech Renewables - Minneapolis,MN,Guy,REB,$20.00,$340
RT2-00-MINIBK2-FSET,1069,4950,2024-02-01,Greentech Renewables - North Chicago,IL,Guy,MINI,$4.51,$4821.19
RT2-04-FBN25,800,4950,2024-02-01,Greentech Renewables - North Chicago,IL,Guy,Bolts,$0.36,$288
RT2-04-SD5-60,2178,4950,2024-02-01,Greentech Renewables - North Chicago,IL,Guy,Screws,$0.43,$936.54
RT2-00-MINIBK2-FSET,170,4984,2024-02-01,Greentech Renewables - Wallingford,CT,RyanW,MINI,$4.51,$766.7
RT2-04-SD5-60,865,4984,2024-02-01,Greentech Renewables - Wallingford,CT,RyanW,Screws,$0.43,$371.95
RT2-00-MINIBK2-FSET,74,4991,2024-02-01,Greentech Renewables - New Hampshire,NH,RyanW,MINI,$4.51,$333.74
RT2-04-C-MOUNT,80,4991,2024-02-01,Greentech Renewables - New Hampshire,NH,RyanW,C-MOUNT,$3.08,$246.4
RT2-04-SD5-60,3408,4991,2024-02-01,Greentech Renewables - New Hampshire,NH,RyanW,Screws,$0.43,$1465.44
RT2-04-FBN25,500,5415,2024-02-01,Greentech Renewables - Omaha,NE,Guy,Bolts,$0.36,$180
RT3-04-RFEBBK,8,5415,2024-02-01,Greentech Renewables - Omaha,NE,Guy,REB,$20.00,$160
RT2-00-MINIBK2-FSET,4249,5621,2024-02-01,Greentech Renewables - Orlando,FL,RyanW,MINI,$4.51,$19162.99
RT2-04-FBN25,3864,5621,2024-02-01,Greentech Renewables - Orlando,FL,RyanW,Bolts,$0.36,$1391.04
RT2-04-SD5-60,17909,5621,2024-02-01,Greentech Renewables - Orlando,FL,RyanW,Screws,$0.43,$7700.87
RT2-00-MINIBK2-FSET,591,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,MINI,$4.51,$2665.41
RT2-04-C-MOUNT,70,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,C-MOUNT,$3.08,$215.6
RT2-04-FBN25,44,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,Bolts,$0.36,$15.84
RT2-04-SD5-60,162,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,Screws,$0.43,$69.66
RT3-00-AXBK,4429,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$4.09,$18114.61
RT3-01-UE-30,629,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$9.24,$5811.96
RT3-01-UEFS30,1165,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$9.24,$10764.6
RT3-01-UES30,753,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$15.31,$11528.43
RT3-02-UM-30,2406,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$9.24,$22231.44
RT3-02-UMFS30,1469,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$9.24,$13573.56
RT3-02-UMS30,383,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$15.31,$5863.73
RT3-03-SK80BL,412,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$17.00,$7004
RT3-04-M4-16S,89,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$0.25,$22.25
RT3-04-M8BIT,110,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,Tools,$6.02,$662.2
RT3-04-SKCAP,419,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$2.66,$1114.54
RT3-04-SKSSL-20,599,5887,2024-02-01,Greentech Renewables - Pennsauken,NJ,RyanW,APEX,$0.87,$521.13
RT2-00-MINIBK2,1008,5888,2024-02-01,Greentech Renewables - Pensacola,FL,RyanW,MINI,$4.15,$4183.2
RT2-04-FBN25,630,5888,2024-02-01,Greentech Renewables - Pensacola,FL,RyanW,Bolts,$0.36,$226.8
RT2-04-SD5-60,1340,5888,2024-02-01,Greentech Renewables - Pensacola,FL,RyanW,Screws,$0.43,$576.2
RT2-00-MINIBK2,26,5944,2024-02-01,Greentech Renewables - Pittsburgh,PA,RyanW,MINI,$4.15,$107.9
RT2-00-MINIBK2-FSET,160,5944,2024-02-01,Greentech Renewables - Pittsburgh,PA,RyanW,MINI,$4.51,$721.6
RT2-04-C-MOUNT,240,5944,2024-02-01,Greentech Renewables - Pittsburgh,PA,RyanW,C-MOUNT,$3.08,$739.2
RT2-04-FBN25,1742,5944,2024-02-01,Greentech Renewables - Pittsburgh,PA,RyanW,Bolts,$0.36,$627.12
RT2-04-SD5-60,5920,5944,2024-02-01,Greentech Renewables - Pittsburgh,PA,RyanW,Screws,$0.43,$2545.6
RT2-00-MINIBK2,460,5951,2024-02-01,Greentech Renewables - Pocatello,ID,Genki,MINI,$4.15,$1909
RT2-04-BN30SL-US,640,5951,2024-02-01,Greentech Renewables - Pocatello,ID,Genki,Bolts,$0.36,$230.4
RT2-04-FBN25,500,5951,2024-02-01,Greentech Renewables - Pocatello,ID,Genki,Bolts,$0.36,$180
RT2-04-SD5-60,9557,5951,2024-02-01,Greentech Renewables - Pocatello,ID,Genki,Screws,$0.43,$4109.51
RT2-00-MINIBK2-FSET,600,5971,2024-02-01,Greentech Renewables - Portland,OR,Genki,MINI,$4.51,$2706
RT2-04-MINBUTYL,199,5971,2024-02-01,Greentech Renewables - Portland,OR,Genki,Accessories,$1.18,$234.82
RT2-04-SD5-60,6070,5971,2024-02-01,Greentech Renewables - Portland,OR,Genki,Screws,$0.43,$2610.1
RT2-00-MINIBK2-FSET,8,6026,2024-02-01,Greentech Renewables - Pueblo,CO,Genki,MINI,$4.51,$36.08
RT2-04-BN30SL-US,78,6026,2024-02-01,Greentech Renewables - Pueblo,CO,Genki,Bolts,$0.36,$28.08
RT2-04-SD5-60,606,6026,2024-02-01,Greentech Renewables - Pueblo,CO,Genki,Screws,$0.43,$260.58
RT2-00-MINIBK2-FSET,921,6058,2024-02-01,Greentech Renewables - Raleigh,NC,RyanW,MINI,$4.51,$4153.71
RT2-04-FBN25,340,6058,2024-02-01,Greentech Renewables - Raleigh,NC,RyanW,Bolts,$0.36,$122.4
RT2-04-SD5-60,4686,6058,2024-02-01,Greentech Renewables - Raleigh,NC,RyanW,Screws,$0.43,$2014.98
RT2-00-MINIBK,40,6254,2024-02-01,Greentech Renewables - Reno,NV,Genki,MINI,$4.86,$194.4
RT2-04-BN30SL-US,83,6254,2024-02-01,Greentech Renewables - Reno,NV,Genki,Bolts,$0.36,$29.88
RT2-00-MINIBK2,173,6408,2024-02-01,Greentech Renewables - Virginia,VA,RyanW,MINI,$4.15,$717.95
RT2-00-MINIBK2-FSET,3,6435,2024-02-01,Greentech Renewables - Riverside,CA,Genki,MINI,$4.51,$13.53
RT2-04-FBN25,16,6435,2024-02-01,Greentech Renewables - Riverside,CA,Genki,Bolts,$0.36,$5.76
RT2-04-SD5-60,3783,6435,2024-02-01,Greentech Renewables - Riverside,CA,Genki,Screws,$0.43,$1626.69
RT2-00-MINIBK2,1,6462,2024-02-01,Greentech Renewables - Rochester,NY,RyanW,MINI,$4.15,$4.15
RT2-04-BN30SL-US,40,6462,2024-02-01,Greentech Renewables - Rochester,NY,RyanW,Bolts,$0.36,$14.4
RT2-04-SD5-60,32,6462,2024-02-01,Greentech Renewables - Rochester,NY,RyanW,Screws,$0.43,$13.76
RT2-00-MINIBK2-FSET,660,6552,2024-02-01,Greentech Renewables - Sacramento,CA,Genki,MINI,$4.51,$2976.6
RT2-04-C-MOUNT,820,6552,2024-02-01,Greentech Renewables - Sacramento,CA,Genki,C-MOUNT,$3.08,$2525.6
RT2-04-FBN25,498,6552,2024-02-01,Greentech Renewables - Sacramento,CA,Genki,Bolts,$0.36,$179.28
RT2-04-MINBUTYL,70,6552,2024-02-01,Greentech Renewables - Sacramento,CA,Genki,Accessories,$1.18,$82.6
RT2-04-SD5-60,4200,6552,2024-02-01,Greentech Renewables - Sacramento,CA,Genki,Screws,$0.43,$1806
RT2-00-MINIBK2,16,6640,2024-02-01,Greentech Renewables - St. Louis,MO,Guy,MINI,$4.15,$66.4
RT2-00-MINIBK2-FSET,219,6640,2024-02-01,Greentech Renewables - St. Louis,MO,Guy,MINI,$4.51,$987.69
RT2-04-BN30SL-US,70,6640,2024-02-01,Greentech Renewables - St. Louis,MO,Guy,Bolts,$0.36,$25.2
RT2-04-FBN25,114,6640,2024-02-01,Greentech Renewables - St. Louis,MO,Guy,Bolts,$0.36,$41.04
RT2-04-SD5-60,719,6640,2024-02-01,Greentech Renewables - St. Louis,MO,Guy,Screws,$0.43,$309.17
RT2-00-MINIBK,56,6692,2024-02-01,Greentech Renewables - Salt Lake,UT,Genki,MINI,$4.86,$272.16
RT2-00-MINIBK2,6,6692,2024-02-01,Greentech Renewables - Salt Lake,UT,Genki,MINI,$4.15,$24.9
RT2-04-FBN25,867,6692,2024-02-01,Greentech Renewables - Salt Lake,UT,Genki,Bolts,$0.36,$312.12
RT2-00-MINIBK2,114,7133,2024-02-01,Greentech Renewables - San Diego,CA,Genki,MINI,$4.15,$473.1
RT2-00-MINIBK2-FSET,400,7133,2024-02-01,Greentech Renewables - San Diego,CA,Genki,MINI,$4.51,$1804
RT2-04-FBN25,279,7133,2024-02-01,Greentech Renewables - San Diego,CA,Genki,Bolts,$0.36,$100.44
RT2-04-SD5-60,2019,7133,2024-02-01,Greentech Renewables - San Diego,CA,Genki,Screws,$0.43,$868.17
RT2-00-MINIBK2,19,7492,2024-02-01,Greentech Renewables - San Jose,CA,Genki,MINI,$4.15,$78.85
RT2-00-MINIBK2-FSET,214,7492,2024-02-01,Greentech Renewables - San Jose,CA,Genki,MINI,$4.51,$965.14
RT2-04-FBN25,168,7492,2024-02-01,Greentech Renewables - San Jose,CA,Genki,Bolts,$0.36,$60.48
RT2-00-MINIBK2,77,7605,2024-02-01,Greentech Renewables - San Luis Obispo,CA,Genki,MINI,$4.15,$319.55
