Item,On Hand Qty,PC #,Date,State,Category,Price_ea,On Hand Value,Distributor,Branch Name,Rep
RT3-02-UMFS30,5,1875,2024-02-01,CO,APEX,9.24,46.2,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-02-UMS30,2,1875,2024-02-01,CO,APEX,15.31,30.62,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-03-SK80BL,4,1875,2024-02-01,CO,APEX,17,68,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-04-ENDCAP,1,1875,2024-02-01,CO,APEX,2.66,2.66,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-04-SKSSL-20,3,1875,2024-02-01,CO,APEX,0.87,2.61,Greentech,GreentechGreentech Renewables - Denver,Genki
RT2-00-MINIBK2,16,1987,2024-02-01,TX,MINI,4.15,66.4,Greentech,GreentechGreentech Renewables - El Paso,Genki
RT2-00-MINIBK2-FSET,698,1987,2024-02-01,TX,MINI,4.51,3147.98,Greentech,GreentechGreentech Renewables - El Paso,Genki
RT2-04-FBN25,6,1987,2024-02-01,TX,Bolts,0.36,2.16,Greentech,GreentechGreentech Renewables - El Paso,Genki
RT2-04-SD5-60,7400,1987,2024-02-01,TX,Screws,0.43,3182,Greentech,GreentechGreentech Renewables - El Paso,Genki
RT2-00-MINIBK2-FSET,2,2459,2024-02-01,CO,MINI,4.51,9.02,Greentech,GreentechGreentech Renewables - Fort Collins,Genki
RT2-04-SD5-60,600,2459,2024-02-01,CO,Screws,0.43,258,Greentech,GreentechGreentech Renewables - Fort Collins,Genki
RT2-00-MINIBK2,559,2576,2024-02-01,CA,MINI,4.15,2319.85,Greentech,GreentechGreentech Renewables - Fresno,Genki
RT2-04-SD5-60,671,2576,2024-02-01,CA,Screws,0.43,288.53,Greentech,GreentechGreentech Renewables - Fresno,Genki
RT2-00-MINIBK2-FSET,5,2685,2024-02-01,CO,MINI,4.51,22.55,Greentech,GreentechGreentech Renewables - Grand Junction,Genki
RT2-04-FBN25,5,2685,2024-02-01,CO,Bolts,0.36,1.8,Greentech,GreentechGreentech Renewables - Grand Junction,Genki
RT2-04-SD5-60,770,2685,2024-02-01,CO,Screws,0.43,331.1,Greentech,GreentechGreentech Renewables - Grand Junction,Genki
RT2-00-MINIBK2,69,3273,2024-02-01,TX,MINI,4.15,286.35,Greentech,GreentechGreentech Renewables - Houston,Genki
RT2-00-MINIBK2-FSET,2512,3273,2024-02-01,TX,MINI,4.51,11329.12,Greentech,GreentechGreentech Renewables - Houston,Genki
RT2-04-FBN25,834,3273,2024-02-01,TX,Bolts,0.36,300.24,Greentech,GreentechGreentech Renewables - Houston,Genki
RT2-04-SD5-60,5845,3273,2024-02-01,TX,Screws,0.43,2513.35,Greentech,GreentechGreentech Renewables - Houston,Genki
RT2-00-MINIBK2,26,3293,2024-02-01,IN,MINI,4.15,107.9,Greentech,GreentechGreentech Renewables - Indianapolis,Guy
RT2-04-FBN25,800,3293,2024-02-01,IN,Bolts,0.36,288,Greentech,GreentechGreentech Renewables - Indianapolis,Guy
RT2-04-SD5-60,1000,3293,2024-02-01,IN,Screws,0.43,430,Greentech,GreentechGreentech Renewables - Indianapolis,Guy
RT2-00-MINIBK2,120,3395,2024-02-01,FL,MINI,4.15,498,Greentech,GreentechGreentech Renewables - Jacksonville,RyanW
RT2-00-MINIBK2-FSET,160,3395,2024-02-01,FL,MINI,4.51,721.6,Greentech,GreentechGreentech Renewables - Jacksonville,RyanW
RT2-04-FBN25,200,3395,2024-02-01,FL,Bolts,0.36,72,Greentech,GreentechGreentech Renewables - Jacksonville,RyanW
RT2-04-SD5-60,100,3395,2024-02-01,FL,Screws,0.43,43,Greentech,GreentechGreentech Renewables - Jacksonville,RyanW
RT3-04-RFEBBK,39,3584,2024-02-01,KS,REB,20,780,Greentech,GreentechGreentech Renewables - Kansas City,Guy
RT2-00-MINIBK2-FSET,100,4029,2024-02-01,NM,MINI,4.51,451,Greentech,GreentechGreentech Renewables - Las Cruces,Genki
RT2-04-FBN25,300,4029,2024-02-01,NM,Bolts,0.36,108,Greentech,GreentechGreentech Renewables - Las Cruces,Genki
RT2-04-SD5-60,500,4029,2024-02-01,NM,Screws,0.43,215,Greentech,GreentechGreentech Renewables - Las Cruces,Genki
RT2-00-MINIBK2,460,4090,2024-02-01,NV,MINI,4.15,1909,Greentech,GreentechGreentech Renewables - Las Vegas,Genki
RT2-04-C-MOUNT,100,4090,2024-02-01,NV,C-MOUNT,3.08,308,Greentech,GreentechGreentech Renewables - Las Vegas,Genki
RT2-04-SD5-60,1618,4090,2024-02-01,NV,Screws,0.43,695.74,Greentech,GreentechGreentech Renewables - Las Vegas,Genki
RT2-00-MINIBK2,11,4187,2024-02-01,AR,MINI,4.15,45.65,Greentech,GreentechGreentech Renewables - LIttle Rock,Guy
RT2-04-FBN25,104,4187,2024-02-01,AR,Bolts,0.36,37.44,Greentech,GreentechGreentech Renewables - LIttle Rock,Guy
RT2-04-SD5-60,460,4187,2024-02-01,AR,Screws,0.43,197.8,Greentech,GreentechGreentech Renewables - LIttle Rock,Guy
RT2-00-MINIBK2,60,4250,2024-02-01,NY,MINI,4.15,249,Greentech,GreentechGreentech Renewables - Long Island,RyanW
RT2-04-FBN25,100,4250,2024-02-01,NY,Bolts,0.36,36,Greentech,GreentechGreentech Renewables - Long Island,RyanW
RT2-04-SD5-60,80,4250,2024-02-01,NY,Screws,0.43,34.4,Greentech,GreentechGreentech Renewables - Long Island,RyanW
RT2-00-MINIBK2-FSET,677,4391,2024-02-01,TX,MINI,4.51,3053.27,Greentech,GreentechGreentech Renewables - Lubbock,Genki
RT2-04-C-MOUNT,196,4391,2024-02-01,TX,C-MOUNT,3.08,603.68,Greentech,GreentechGreentech Renewables - Lubbock,Genki
RT2-04-FBN25,145,4391,2024-02-01,TX,Bolts,0.36,52.2,Greentech,GreentechGreentech Renewables - Lubbock,Genki
RT2-00-MINIBK2,617,4407,2024-02-01,WI,MINI,4.15,2560.55,Greentech,GreentechGreentech Renewables - Madison,Guy
RT2-04-C-MOUNT,87,4407,2024-02-01,WI,C-MOUNT,3.08,267.96,Greentech,GreentechGreentech Renewables - Madison,Guy
RT2-04-FBN25,967,4407,2024-02-01,WI,Bolts,0.36,348.12,Greentech,GreentechGreentech Renewables - Madison,Guy
RT2-04-SD5-60,1595,4407,2024-02-01,WI,Screws,0.43,685.85,Greentech,GreentechGreentech Renewables - Madison,Guy
RT3-04-RFEBBK,38,4407,2024-02-01,WI,REB,20,760,Greentech,GreentechGreentech Renewables - Madison,Guy
RT2-00-MINIBK2,46,4422,2024-02-01,ME,MINI,4.15,190.9,Greentech,GreentechGreentech Renewables - Maine,RyanW
RT2-00-MINIBK2-FSET,4200,4422,2024-02-01,ME,MINI,4.51,18942,Greentech,GreentechGreentech Renewables - Maine,RyanW
RT2-04-C-MOUNT,130,4422,2024-02-01,ME,C-MOUNT,3.08,400.4,Greentech,GreentechGreentech Renewables - Maine,RyanW
RT2-04-FBN25,2337,4422,2024-02-01,ME,Bolts,0.36,841.32,Greentech,GreentechGreentech Renewables - Maine,RyanW
RT2-04-MINBUTYL,420,4422,2024-02-01,ME,Accessories,1.18,495.6,Greentech,GreentechGreentech Renewables - Maine,RyanW
RT2-04-SD5-60,10802,4422,2024-02-01,ME,Screws,0.43,4644.86,Greentech,GreentechGreentech Renewables - Maine,RyanW
RT2-00-MINIBK2,1788,4431,2024-02-01,MA,MINI,4.15,7420.2,Greentech,GreentechGreentech Renewables - Mansfield,RyanW
RT2-04-FBN25,946,4431,2024-02-01,MA,Bolts,0.36,340.56,Greentech,GreentechGreentech Renewables - Mansfield,RyanW
RT2-04-SD5-60,3047,4431,2024-02-01,MA,Screws,0.43,1310.21,Greentech,GreentechGreentech Renewables - Mansfield,RyanW
RT2-04-SD5-90,1740,4431,2024-02-01,MA,Screws,0.75,1305,Greentech,GreentechGreentech Renewables - Mansfield,RyanW
RT2-04-FBN25,300,4450,2024-02-01,OR,Bolts,0.36,108,Greentech,GreentechGreentech Renewables - Medford,Genki
RT2-00-MINIBK2,63,4560,2024-02-01,FL,MINI,4.15,261.45,Greentech,GreentechGreentech Renewables - Miami,RyanW
RT2-00-MINIBK2-FSET,412,4560,2024-02-01,FL,MINI,4.51,1858.12,Greentech,GreentechGreentech Renewables - Miami,RyanW
RT2-04-FBN25,255,4560,2024-02-01,FL,Bolts,0.36,91.8,Greentech,GreentechGreentech Renewables - Miami,RyanW
RT2-04-SD5-60,1064,4560,2024-02-01,FL,Screws,0.43,457.52,Greentech,GreentechGreentech Renewables - Miami,RyanW
RT3-04-BUTYL,252,4560,2024-02-01,FL,Accessories,1.18,297.36,Greentech,GreentechGreentech Renewables - Miami,RyanW
RT2-00-MINIBK2,795,4664,2024-02-01,MN,MINI,4.15,3299.25,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT2-04-BN30SL-US,58,4664,2024-02-01,MN,Bolts,0.36,20.88,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT2-04-FBN25,2957,4664,2024-02-01,MN,Bolts,0.36,1064.52,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT2-04-SD5-60,2174,4664,2024-02-01,MN,Screws,0.43,934.82,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT3-01-UES30,239,4664,2024-02-01,MN,APEX,15.31,3659.09,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT3-02-UMFS30,239,4664,2024-02-01,MN,APEX,9.24,2208.36,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT3-04-M4-16S,80,4664,2024-02-01,MN,APEX,0.25,20,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT3-04-RFEBBK,17,4664,2024-02-01,MN,REB,20,340,Greentech,GreentechGreentech Renewables - Minneapolis,Guy
RT2-00-MINIBK2-FSET,1069,4950,2024-02-01,IL,MINI,4.51,4821.19,Greentech,GreentechGreentech Renewables - North Chicago,Guy
RT2-04-FBN25,800,4950,2024-02-01,IL,Bolts,0.36,288,Greentech,GreentechGreentech Renewables - North Chicago,Guy
RT2-04-SD5-60,2178,4950,2024-02-01,IL,Screws,0.43,936.54,Greentech,GreentechGreentech Renewables - North Chicago,Guy
RT2-00-MINIBK2-FSET,170,4984,2024-02-01,CT,MINI,4.51,766.7,Greentech,GreentechGreentech Renewables - Wallingford,RyanW
RT2-04-SD5-60,865,4984,2024-02-01,CT,Screws,0.43,371.95,Greentech,GreentechGreentech Renewables - Wallingford,RyanW
RT2-00-MINIBK2-FSET,74,4991,2024-02-01,NH,MINI,4.51,333.74,Greentech,GreentechGreentech Renewables - New Hampshire,RyanW
RT2-04-C-MOUNT,80,4991,2024-02-01,NH,C-MOUNT,3.08,246.4,Greentech,GreentechGreentech Renewables - New Hampshire,RyanW
RT2-04-SD5-60,3408,4991,2024-02-01,NH,Screws,0.43,1465.44,Greentech,GreentechGreentech Renewables - New Hampshire,RyanW
RT2-04-FBN25,500,5415,2024-02-01,NE,Bolts,0.36,180,Greentech,GreentechGreentech Renewables - Omaha,Guy
RT3-04-RFEBBK,8,5415,2024-02-01,NE,REB,20,160,Greentech,GreentechGreentech Renewables - Omaha,Guy
RT2-00-MINIBK2-FSET,4249,5621,2024-02-01,FL,MINI,4.51,19162.99,Greentech,GreentechGreentech Renewables - Orlando,RyanW
RT2-04-FBN25,3864,5621,2024-02-01,FL,Bolts,0.36,1391.04,Greentech,GreentechGreentech Renewables - Orlando,RyanW
RT2-04-SD5-60,17909,5621,2024-02-01,FL,Screws,0.43,7700.87,Greentech,GreentechGreentech Renewables - Orlando,RyanW
RT2-00-MINIBK2-FSET,591,5887,2024-02-01,NJ,MINI,4.51,2665.41,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT2-04-C-MOUNT,70,5887,2024-02-01,NJ,C-MOUNT,3.08,215.6,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT2-04-FBN25,44,5887,2024-02-01,NJ,Bolts,0.36,15.84,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT2-04-SD5-60,162,5887,2024-02-01,NJ,Screws,0.43,69.66,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-00-AXBK,4429,5887,2024-02-01,NJ,APEX,4.09,18114.61,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-01-UE-30,629,5887,2024-02-01,NJ,APEX,9.24,5811.96,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-01-UEFS30,1165,5887,2024-02-01,NJ,APEX,9.24,10764.6,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-01-UES30,753,5887,2024-02-01,NJ,APEX,15.31,11528.43,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-02-UM-30,2406,5887,2024-02-01,NJ,APEX,9.24,22231.44,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-02-UMFS30,1469,5887,2024-02-01,NJ,APEX,9.24,13573.56,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-02-UMS30,383,5887,2024-02-01,NJ,APEX,15.31,5863.73,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-03-SK80BL,412,5887,2024-02-01,NJ,APEX,17,7004,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-04-M4-16S,89,5887,2024-02-01,NJ,APEX,0.25,22.25,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-04-M8BIT,110,5887,2024-02-01,NJ,Tools,6.02,662.2,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-04-SKCAP,419,5887,2024-02-01,NJ,APEX,2.66,1114.54,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT3-04-SKSSL-20,599,5887,2024-02-01,NJ,APEX,0.87,521.13,Greentech,GreentechGreentech Renewables - Pennsauken,RyanW
RT2-00-MINIBK2,1008,5888,2024-02-01,FL,MINI,4.15,4183.2,Greentech,GreentechGreentech Renewables - Pensacola,RyanW
RT2-04-FBN25,630,5888,2024-02-01,FL,Bolts,0.36,226.8,Greentech,GreentechGreentech Renewables - Pensacola,RyanW
RT2-04-SD5-60,1340,5888,2024-02-01,FL,Screws,0.43,576.2,Greentech,GreentechGreentech Renewables - Pensacola,RyanW
RT2-00-MINIBK2,26,5944,2024-02-01,PA,MINI,4.15,107.9,Greentech,GreentechGreentech Renewables - Pittsburgh,RyanW
RT2-00-MINIBK2-FSET,160,5944,2024-02-01,PA,MINI,4.51,721.6,Greentech,GreentechGreentech Renewables - Pittsburgh,RyanW
RT2-04-C-MOUNT,240,5944,2024-02-01,PA,C-MOUNT,3.08,739.2,Greentech,GreentechGreentech Renewables - Pittsburgh,RyanW
RT2-04-FBN25,1742,5944,2024-02-01,PA,Bolts,0.36,627.12,Greentech,GreentechGreentech Renewables - Pittsburgh,RyanW
RT2-04-SD5-60,5920,5944,2024-02-01,PA,Screws,0.43,2545.6,Greentech,GreentechGreentech Renewables - Pittsburgh,RyanW
RT2-00-MINIBK2,460,5951,2024-02-01,ID,MINI,4.15,1909,Greentech,GreentechGreentech Renewables - Pocatello,Genki
RT2-04-BN30SL-US,640,5951,2024-02-01,ID,Bolts,0.36,230.4,Greentech,GreentechGreentech Renewables - Pocatello,Genki
RT2-04-FBN25,500,5951,2024-02-01,ID,Bolts,0.36,180,Greentech,GreentechGreentech Renewables - Pocatello,Genki
RT2-04-SD5-60,9557,5951,2024-02-01,ID,Screws,0.43,4109.51,Greentech,GreentechGreentech Renewables - Pocatello,Genki
RT2-00-MINIBK2-FSET,600,5971,2024-02-01,OR,MINI,4.51,2706,Greentech,GreentechGreentech Renewables - Portland,Genki
RT2-04-MINBUTYL,199,5971,2024-02-01,OR,Accessories,1.18,234.82,Greentech,GreentechGreentech Renewables - Portland,Genki
RT2-04-SD5-60,6070,5971,2024-02-01,OR,Screws,0.43,2610.1,Greentech,GreentechGreentech Renewables - Portland,Genki
RT2-00-MINIBK2-FSET,8,6026,2024-02-01,CO,MINI,4.51,36.08,Greentech,GreentechGreentech Renewables - Pueblo,Genki
RT2-04-BN30SL-US,78,6026,2024-02-01,CO,Bolts,0.36,28.08,Greentech,GreentechGreentech Renewables - Pueblo,Genki
RT2-04-SD5-60,606,6026,2024-02-01,CO,Screws,0.43,260.58,Greentech,GreentechGreentech Renewables - Pueblo,Genki
RT2-00-MINIBK2-FSET,921,6058,2024-02-01,NC,MINI,4.51,4153.71,Greentech,GreentechGreentech Renewables - Raleigh,RyanW
RT2-04-FBN25,340,6058,2024-02-01,NC,Bolts,0.36,122.4,Greentech,GreentechGreentech Renewables - Raleigh,RyanW
RT2-04-SD5-60,4686,6058,2024-02-01,NC,Screws,0.43,2014.98,Greentech,GreentechGreentech Renewables - Raleigh,RyanW
RT2-00-MINIBK,40,6254,2024-02-01,NV,MINI,4.86,194.4,Greentech,GreentechGreentech Renewables - Reno,Genki
RT2-04-BN30SL-US,83,6254,2024-02-01,NV,Bolts,0.36,29.88,Greentech,GreentechGreentech Renewables - Reno,Genki
RT2-00-MINIBK2,173,6408,2024-02-01,VA,MINI,4.15,717.95,Greentech,GreentechGreentech Renewables - Virginia,RyanW
RT2-00-MINIBK2-FSET,3,6435,2024-02-01,CA,MINI,4.51,13.53,Greentech,GreentechGreentech Renewables - Riverside,Genki
RT2-04-FBN25,16,6435,2024-02-01,CA,Bolts,0.36,5.76,Greentech,GreentechGreentech Renewables - Riverside,Genki
RT2-04-SD5-60,3783,6435,2024-02-01,CA,Screws,0.43,1626.69,Greentech,GreentechGreentech Renewables - Riverside,Genki
RT2-00-MINIBK2,1,6462,2024-02-01,NY,MINI,4.15,4.15,Greentech,GreentechGreentech Renewables - Rochester,RyanW
